"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","citi, new, build, develop, york, project, plan, center, area, offic, space, resid",0.016,0.0197,0.0311
"Topic 2"," ","china, countri, state, chines, world, unit, global, asia, south, korea, mexico, foreign",0.0158,0.0193,0.026
"Topic 3"," ","feder, reserv, secur, financi, purchas, asset, direct, hold, agenc, treasuri, balanc, fund",0.0423,0.0324,0.0139
"Topic 4"," ","job, worker, labor, unemploy, employ, work, wage, hour, hire, forc, benefit, peopl",0.0242,0.0218,0.024
"Topic 5"," ","unit, state, american, nation, world, countri, war, militari, intern, america, iraq, forc",0.0144,0.0208,0.0267
"Topic 6"," ","industri, car, year, plant, compani, airlin, product, new, power, manufactur, electr, factori",0.0184,0.0192,0.024
"Topic 7"," ","govern, polit, reform, power, minist, prime, leader, public, privat, control, chang, countri",0.0145,0.0214,0.0293
"Topic 8"," ","tax, cut, budget, spend, year, billion, deficit, fiscal, plan, propos, increas, govern",0.0164,0.0196,0.0309
"Topic 9"," ","cost, pay, money, save, insur, account, benefit, plan, retir, make, use, pension",0.015,0.0242,0.0241
"Topic 10"," ","incom, increas, household, less, number, higher, low, high, level, research, wealth, rise",0.0251,0.0286,0.0195
"Topic 11"," ","compani, execut, busi, corpor, firm, manag, invest, deal, million, last, group, offer",0.015,0.02,0.0301
"Topic 12"," ","billion, quarter, year, share, profit, earn, analyst, expect, percent, compani, million, first",0.02,0.0191,0.0289
"Topic 13"," ","stock, percent, point, index, rose, fell, gain, investor, close, price, day, share",0.0198,0.0178,0.0423
"Topic 14"," ","term, effect, long, chang, short, current, potenti, might, futur, possibl, relat, signific",0.0296,0.0389,0.0154
"Topic 15"," ","polici, inflat, monetari, committe, stabil, expect, target, object, run, member, condit, rang",0.0775,0.0391,0.0131
"Topic 16"," ","school, peopl, work, univers, year, famili, educ, student, live, class, mani, one",0.0141,0.0213,0.0272
"Topic 17"," ","consum, sale, spend, retail, increas, good, month, order, busi, declin, manufactur, rose",0.0515,0.0194,0.0245
"Topic 18"," ","offici, meet, russia, agreement, plan, presid, deal, negoti, russian, week, today, leader",0.0159,0.0196,0.0302
"Topic 19"," ","differ, use, model, one, view, question, exampl, seem, well, import, whether, rather",0.0165,0.0375,0.0196
"Topic 20"," ","busi, servic, technolog, product, small, new, industri, comput, inform, use, high, custom",0.0194,0.0313,0.0189
"Topic 21"," ","one, year, day, like, peopl, time, two, just, open, now, back, work",0.0147,0.0197,0.034
"Topic 22"," ","loan, credit, mortgag, borrow, debt, interest, lender, payment, card, lend, financ, consum",0.0225,0.0282,0.0206
"Topic 23"," ","fund, bond, investor, invest, yield, treasuri, manag, interest, stock, return, asset, secur",0.024,0.0233,0.0256
"Topic 24"," ","trade, dollar, japan, currenc, unit, foreign, export, import, exchang, japanes, state, american",0.0241,0.0215,0.0236
"Topic 25"," ","risk, financi, capit, system, manag, institut, firm, regul, requir, regulatori, intern, standard",0.0199,0.0588,0.0126
"Topic 26"," ","presid, vote, elect, polit, hous, administr, white, support, polici, congress, candid, issu",0.0149,0.0195,0.0336
"Topic 27"," ","percent, year, last, month, increas, sinc, averag, three, annual, two, rise, accord",0.021,0.0192,0.0332
"Topic 28"," ","bank, financi, central, crisi, institut, banker, lend, money, asset, deposit, commerci, capit",0.0173,0.0315,0.0194
"Topic 29"," ","state, million, new, health, care, york, governor, general, bill, bond, revenu, week",0.0149,0.0185,0.0237
"Topic 30"," ","price, inflat, oil, energi, increas, rise, consum, higher, cost, food, produc, expect",0.0431,0.0248,0.0209
"Topic 31"," ","get, say, think, peopl, like, just, now, make, one, thing, want, good",0.014,0.0222,0.0353
"Topic 32"," ","european, euro, europ, countri, union, germani, debt, german, franc, greec, govern, zone",0.0157,0.0182,0.0271
"Topic 33"," ","program, need, develop, help, communiti, provid, organ, effort, work, also, import, challeng",0.0167,0.0357,0.0188
"Topic 34"," ","fed, interest, economi, rais, feder, inflat, reserv, polici, meet, greenspan, point, increas",0.0202,0.0227,0.0278
"Topic 35"," ","growth, economi, product, quarter, slow, forecast, domest, recoveri, invest, output, pace, second",0.044,0.0265,0.0223
"Topic 36"," ","economi, recess, even, now, year, last, crisi, mani, time, fall, still, much",0.017,0.0231,0.0294
"Topic 37"," ","rule, law, case, agenc, regul, propos, requir, board, protect, author, commiss, issu",0.0153,0.0277,0.0242
"Topic 38"," ","report, month, week, show, data, last, expect, releas, sinc, number, depart, survey",0.0226,0.0192,0.0297
"Topic 39"," ","hous, home, real, estat, year, price, properti, new, apart, rent, buyer, sale",0.0226,0.0202,0.0246
"Topic 40"," ","remain, continu, particip, recent, activ, condit, period, level, indic, moder, declin, increas",0.1141,0.0288,0.0135
