"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","tax, cut, budget, spend, billion, govern, plan, year, deficit, propos, fiscal, increas",0.0173,0.0222,0.0309
"Topic 2"," ","compani, busi, execut, industri, corpor, new, oper, technolog, custom, deal, manag, servic",0.0158,0.0271,0.0334
"Topic 3"," ","polici, inflat, committe, expect, particip, risk, longer, member, feder, outlook, monetari, condit",0.0796,0.0403,0.0143
"Topic 4"," ","stock, percent, point, index, rose, fell, investor, gain, price, share, close, week",0.0195,0.0192,0.0411
"Topic 5"," ","oil, price, energi, produc, product, gas, industri, year, demand, fuel, high, suppli",0.0201,0.0231,0.0234
"Topic 6"," ","price, inflat, increas, consum, month, energi, measur, rise, expect, core, cost, higher",0.0516,0.0259,0.0175
"Topic 7"," ","school, incom, univers, famili, educ, student, peopl, work, studi, class, high, middl",0.0164,0.0314,0.0305
"Topic 8"," ","health, cost, care, insur, save, benefit, plan, year, pay, retir, pension, mani",0.0165,0.0276,0.0271
"Topic 9"," ","hous, home, real, estat, new, sale, apart, price, properti, year, famili, rent",0.0233,0.0213,0.0236
"Topic 10"," ","presid, offici, administr, meet, hous, white, plan, secretari, week, call, aid, includ",0.0159,0.0245,0.0335
"Topic 11"," ","dollar, trade, japan, currenc, foreign, export, import, japanes, valu, economi, exchang, yen",0.0273,0.0235,0.0215
"Topic 12"," ","loan, credit, mortgag, borrow, interest, debt, payment, card, lender, pay, consum, lend",0.0229,0.032,0.0244
"Topic 13"," ","bond, secur, treasuri, yield, million, note, debt, issu, week, price, percent, bill",0.0199,0.0202,0.0245
"Topic 14"," ","report, week, month, show, data, depart, last, sinc, expect, releas, number, economi",0.0212,0.0202,0.0308
"Topic 15"," ","quarter, billion, share, year, profit, million, analyst, earn, expect, compani, percent, first",0.0185,0.0202,0.0289
"Topic 16"," ","build, develop, citi, project, new, plan, center, area, space, one, offic, communiti",0.0162,0.0252,0.0331
"Topic 17"," ","member, particip, recent, effect, might, note, pressur, relat, continu, like, activ, howev",0.0645,0.0387,0.0154
"Topic 18"," ","economi, now, even, recess, much, just, like, still, seem, time, mani, way",0.0171,0.0323,0.0377
"Topic 19"," ","committe, feder, direct, reserv, secur, condit, polici, financi, agenc, stabil, maintain, open",0.0546,0.032,0.0135
"Topic 20"," ","new, state, citi, york, million, program, governor, servic, local, offici, public, feder",0.0163,0.0225,0.0282
"Topic 21"," ","law, rule, case, regul, use, requir, commiss, protect, issu, agenc, charg, allow",0.0167,0.0475,0.0322
"Topic 22"," ","china, chines, countri, south, govern, asia, state, year, india, korea, world, north",0.0164,0.0217,0.026
"Topic 23"," ","quarter, busi, continu, activ, remain, pace, sector, spend, increas, inventori, third, moder",0.0663,0.0243,0.0146
"Topic 24"," ","peopl, one, get, like, say, want, just, work, make, now, think, time",0.0149,0.0269,0.0441
"Topic 25"," ","fed, interest, economi, feder, polici, reserv, rais, term, point, short, meet, inflat",0.0217,0.0302,0.0295
"Topic 26"," ","govern, minist, russia, war, nation, countri, polit, militari, prime, russian, forc, power",0.0154,0.0237,0.033
"Topic 27"," ","percent, year, increas, last, averag, sinc, rise, annual, compar, month, three, accord",0.0202,0.0208,0.0324
"Topic 28"," ","bank, financi, central, govern, crisi, billion, institut, money, financ, lend, capit, system",0.0205,0.0469,0.028
"Topic 29"," ","growth, spend, consum, forecast, economi, expect, slow, project, household, real, staff, continu",0.0487,0.0274,0.0188
"Topic 30"," ","unit, american, state, world, trade, countri, nation, global, america, intern, mexico, develop",0.0166,0.0257,0.0278
"Topic 31"," ","year, last, two, first, time, month, end, three, sinc, one, still, ago",0.0193,0.0212,0.0308
"Topic 32"," ","european, europ, euro, countri, union, germani, german, franc, greec, govern, debt, zone",0.0167,0.0217,0.0288
"Topic 33"," ","polit, elect, presid, vote, support, polici, chang, candid, right, power, conserv, new",0.016,0.026,0.0352
"Topic 34"," ","period, term, declin, remain, intermeet, chang, littl, continu, balanc, increas, spread, reflect",0.0568,0.0291,0.013
"Topic 35"," ","sale, product, manufactur, consum, retail, industri, good, order, motor, month, vehicl, store",0.0342,0.0212,0.0214
"Topic 36"," ","fund, invest, investor, manag, money, stock, asset, firm, capit, return, valu, cash",0.0196,0.0328,0.0265
"Topic 37"," ","job, worker, unemploy, employ, labor, work, wage, hire, hour, forc, employe, union",0.0253,0.0237,0.0247
