param,a1,a2
0.1,0.009239365763717694,0.9907606342362824
0.2,0.033144215325465576,0.9668557846745344
0.3,0.06793087315465858,0.9320691268453414
0.4,0.11000741497648679,0.8899925850235132
0.5,0.15658708660939433,0.8434129133906059
0.6,0.2083910082393452,0.7916089917606548
0.7,0.2651669009493698,0.7348330990506301
0.8,0.32964530721210045,0.6703546927878995
0.9,0.4050165049111475,0.5949834950888525
1.0,0.49967684556787223,0.5003231544321278
1.1,0.5773663861294845,0.42263361387051557
1.2,0.626449749803392,0.37355025019660804
1.3,0.659060966312318,0.34093903368768197
1.4,0.6858772064662894,0.3141227935337107
1.5,0.7070570142401837,0.2929429857598163
1.6,0.7218781003456202,0.2781218996543797
1.7,0.7365109530456245,0.26348904695437547
1.8,0.7488187233256162,0.2511812766743839
1.9,0.7587347478209737,0.24126525217902625
2.0,0.7672272073193916,0.23277279268060852
2.1,0.7754477030957444,0.22455229690425563
2.2,0.7825868254021711,0.21741317459782888
2.3,0.788499116688603,0.21150088331139705
2.4,0.7931496685775195,0.20685033142248044
2.5,0.799233062291514,0.20076693770848578
2.6,0.8036449764345479,0.19635502356545217
2.7,0.8083724169822122,0.19162758301778787
2.8,0.8111613390120843,0.18883866098791569
2.9,0.814710871211355,0.1852891287886451
3.0,0.8176805801169698,0.18231941988303021
