param1,param2,Cor_ab1ac1,Cor_ab2ac2,ab1,ab2
0.1,0.1,0.02805113314873208,0.02805113314873208,0.6566672950882655,0.34333270491173445
0.2,0.2,0.026760119400354575,0.026760119400354585,0.6559210603110476,0.34407893968895237
0.3,0.3,0.031158140149448954,0.031158140149448964,0.6545795892814348,0.3454204107185653
0.4,0.4,0.033400167868491,0.03340016786849101,0.6530745054929199,0.3469254945070802
0.5,0.5,0.029678162967658163,0.02967816296765815,0.65118435575078,0.3488156442492199
0.6,0.6,0.03502884845579707,0.03502884845579706,0.6504787269828096,0.3495212730171904
0.7,0.7,0.040792873826919776,0.04079287382691978,0.6490508034159828,0.3509491965840172
0.8,0.8,0.04339898132141322,0.04339898132141323,0.6477399267967396,0.3522600732032603
0.9,0.9,0.056763789636959494,0.056763789636959494,0.6465869143443631,0.35341308565563695
1.0,1.0,0.060435443080662093,0.06043544308066208,0.6445156739463385,0.35548432605366165
1.1,1.1,0.06937963835136757,0.06937963835136754,0.6432228246765094,0.3567771753234907
1.2,1.2,0.0875328618273581,0.08753286182735813,0.6416235773638996,0.3583764226361003
1.3,1.3,0.10260896546553648,0.1026089654655365,0.6395357818188326,0.36046421818116736
1.4,1.4,0.11426205159128146,0.11426205159128146,0.6381316787289388,0.36186832127106117
1.5,1.5,0.1269941719093828,0.12699417190938278,0.6361111626384285,0.36388883736157157
1.6,1.6,0.13556541068396755,0.13556541068396755,0.6338581917711607,0.36614180822883935
1.7,1.7,0.14825005607095967,0.14825005607095976,0.6329936326198566,0.36700636738014336
1.8,1.8,0.16104873140803788,0.1610487314080379,0.6316247932753046,0.36837520672469537
1.9,1.9,0.16770601333793736,0.16770601333793736,0.6302622254775818,0.3697377745224182
2.0,2.0,0.17600915645638626,0.17600915645638632,0.6282888638723594,0.37171113612764056
2.1,2.1,0.18055446403138553,0.18055446403138556,0.6277969562244275,0.37220304377557245
2.2,2.2,0.18968767763202266,0.1896876776320227,0.6268434606788778,0.37315653932112225
2.3,2.3,0.19017902543641624,0.19017902543641624,0.6254487446202206,0.37455125537977946
2.4,2.4,0.19876242076037956,0.19876242076037962,0.6242533974763466,0.37574660252365344
2.5,2.5,0.20722475919980854,0.20722475919980854,0.6239650355468893,0.3760349644531107
2.6,2.6,0.21286735668752071,0.2128673566875207,0.6225004307785228,0.3774995692214772
2.7,2.7,0.21394023489734967,0.2139402348973496,0.621802472594572,0.37819752740542795
2.8,2.8,0.21823972156525073,0.21823972156525076,0.6208550699399437,0.37914493006005634
2.9,2.9,0.22590036037012812,0.22590036037012814,0.6197557322121016,0.38024426778789844
3.0,3.0,0.228809383901842,0.228809383901842,0.6188109249824177,0.3811890750175822
